id,geometry,value
170318048044,"POLYGON ((-88.128354 41.993297,-88.125438 41.995832,-88.125324 41.998053,-88.123271 41.998292,-88.121029 42.000119,-88.121857 42.003736,-88.119243 42.003842,-88.110087 42.004209,-88.109482 42.003009,-88.109619 41.993157,-88.109586 41.990226,-88.109875 41.989551,-88.116289 41.98934,-88.116756 41.98933,-88.119281 41.989229,-88.122242 41.989044,-88.125814 41.988746,-88.127997 41.988899,-88.128354 41.993297))",-1
170318226011,"POLYGON ((-87.75029 41.712624,-87.749033 41.712652,-87.740529 41.712817,-87.740415 41.709394,-87.74027 41.70557,-87.750024 41.705411,-87.75029 41.712624))",-1
170318423002,"POLYGON ((-87.657364 41.903502,-87.655118 41.900646,-87.651763 41.899975,-87.647829 41.897961,-87.645274 41.897714,-87.644139 41.896456,-87.643886 41.894,-87.64196 41.892538,-87.639356 41.889081,-87.644334 41.889034,-87.644322 41.888554,-87.645759 41.88802,-87.647599 41.88866,-87.647622 41.889049,-87.647745 41.896399,-87.65751 41.896228,-87.657595 41.899866,-87.656697 41.901334,-87.658369 41.903506,-87.657364 41.903502))",-1
170310306041,"POLYGON ((-87.656672 41.985507,-87.655242 41.985521,-87.652723460314292 41.985722049505199,-87.6521416305564 41.984233823181498,-87.655192 41.983802,-87.655915 41.983692,-87.656609 41.983683,-87.656672 41.985507))",-1
170318109001,"POLYGON ((-87.812351 41.923396,-87.808143 41.92346,-87.806226 41.923093,-87.806162 41.921074,-87.806122 41.919856,-87.812233 41.919743,-87.812351 41.923396))",-1
170312505002,"POLYGON ((-87.794902 41.912661,-87.785119 41.91278,-87.785002 41.909148,-87.793841 41.909039,-87.794798 41.909027,-87.794902 41.912661))",-1
170318047141,"POLYGON ((-88.091232 42.060177,-88.088131 42.059739,-88.07962 42.061121,-88.079551 42.061133,-88.079581 42.058083,-88.083656 42.056984,-88.084556 42.057919,-88.087539 42.057514,-88.090096 42.056794,-88.090208 42.057356,-88.092129 42.058769,-88.091232 42.060177))",-1
170318046083,"POLYGON ((-88.079847 42.034652,-88.079811 42.038418,-88.079808 42.038791,-88.073423 42.038986,-88.072802 42.04062,-88.069636 42.040027,-88.069503 42.039525,-88.069356 42.035112,-88.070004 42.035089,-88.069918 42.031772,-88.063166 42.031843,-88.060246 42.032656,-88.060313 42.028141,-88.069653 42.02773,-88.079914 42.027308,-88.079847 42.034652))",-1
170310406001,"POLYGON ((-87.682419 41.968708,-87.680408 41.968739,-87.679186 41.968756,-87.679083 41.965096,-87.680698 41.965073,-87.682343 41.965961,-87.682369 41.966872,-87.682419 41.968708))",-1
170316119002,"POLYGON ((-87.661087 41.799545,-87.659918 41.801382,-87.655059 41.801452,-87.654958 41.79781,-87.654874 41.794172,-87.657301 41.794141,-87.659729 41.7941,-87.660946 41.794087,-87.661087 41.799545))",478.0
